127.0.0.1 - - [06/Apr/2022:01:26:35 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:28:40 -0300] "GET /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:28:41 -0300] "GET /Navegacao/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 200 41988
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:28:41 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:29:51 -0300] "GET /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:46:09 -0300] "GET /Navegacao/faces/login.xhtml HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:46:20 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:53:16 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:53:28 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:54:48 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:54:54 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:55:01 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:55:06 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:55:12 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:55:22 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:56:28 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:56:36 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:56:38 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:56:40 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:56:41 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:01:56:47 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:09:42 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:09:44 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:09:46 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:09:48 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:09:52 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:10:44 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:10:47 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:10:49 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:10:51 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:19:35 -0300] "GET /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:21:23 -0300] "GET /Navegacao/faces/login.xhtml HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:21:35 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:27:08 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:27:16 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:28:17 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:28:24 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:28:31 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:28:33 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
